positive	Up 20 points in my money league with Vernon Davis and L. Fitz still to go tomorrow. Thats what I like to see
positive	DEEJAYING this FRIDAY in THE FIRST CHOP it's CHRIS actual SMITH with a smashing mish mashing of TUNES from Stoke... http://t.co/N3W1Dkrv
positive	Hustle cause you got to then kick back n party everyday like its Fri
positive	I can't sleep. Way too exited about Vancouver tomorrow! I'm like a kid at Christmas.
positive	Entertainment: Tina Fey and Amy Poehler are hosting the Golden Globes, airing Jan 13. Get ready for a night full of laughs!! -Ashley&amp;Alyssa
positive	@h0tlikepayne: It's #confirmed that you can listen to the deluxe version of TMH on ITunes 9pm GMT on Nov 5th, Monday.
positive	Busy day tomorrow, staging at bliss instead of sustenio!! Both very cool places. And my last night in Texas. Its gonna be great! :)
positive	Thursday night is reserved for comedys on NBC, FX and tonight, NFL Network.
positive	Get to see my big sis sunday and watch the Packers game! #missher @Laurrr_Miller
positive	Not only is @MzMandyTugz home from China, she's in LA...I called her and screamed Mandyyyyyyyyyyyyy...I'm gonna hug her for 2 hrs tomorrow!
positive	Going to Singapore tonight :) Excited for Skyfall + penny boarding tomorrow!
positive	Bama maintains the longest active unbeaten streak as they march (again) to the national title. ROLL TIDE!
positive	@ZulaGp @misstoyaj Watching this great interview with Ava Duvernay-new film coming out Fri. with the beautiful Nigerian actor from Red Tails
positive	i like how each Friday the announcers hype how Alabama can be beat and each Monday state how Alabama is still number one...
positive	Thanking all my lucky stars. (no Madonna) "With the sun in the mornin' &amp; the moon in the evenin' I'm alright."
positive	Emile Heskey has sure started his A-League career well. 4 goals in 3 games! May it continue. "Match Stats http://t.co/SUCqdSM3
positive	@emmasq Gary Ablett has to be a #Monty surely. A lot of losses, but clearly best and most influential player in the #AFL #Jobe &amp; Thommo 2nd
positive	@Real_Liam_Payne i'll be in london, within zayn's birthday the 12th of january meet you there hahaaha DREAMS AND IMAGINATION OF MINE ..
positive	#7ThingsAboutMyBestFriend 1.She is in love with Zayn Malik and Beau Brooks 2.Ive known her since 5th grade(; 3.She is so tiny!
positive	I hope anderson starts tomorrow's game he did very against chelsea
positive	@ZackRyder Look forward to seeing you in Newcastle tomorrow night! I'll be front row wearing a Broski t-shirt! #WWWYKI
positive	New series of Greys Anatomy starts on 07 November - one good thing about winter is the return of the best US shows! #nightsinfrontofthetelly
positive	#Hawks fam, twitpic your Halloween costume to win a pair of tickets to see the Hawks defeat the Rockets this Friday @ATolliver44
positive	@JulesHolman Dear one was driving from Newcastle. Sunday? So glad @NorelleFeeehan liked it - it was great to meet you Norelle!
positive	Off to Anfield on Sunday for LFC vs Newcastle with @willslater99 #excited
positive	@premierleague Mr Howard Webb did a fantastic comback in Chelsea match 05 February 2012 - with the help of two magic penalties of course...
positive	Vegas Beat: Ellen reveals that Madonna helped her come out of the closet: Tuesday's episode of Ellen featured th... http://t.co/PwhBvNK1
positive	Can't wait to go to the WVU vs. TCU game on Saturday
positive	Very much looking forward to Saturday. Afternoon tea and Firework display at the Celtic Manor.
positive	Muhammad Ali came into my work tonight to eat...I think that being in the presence of a legend made this Tuesday pretty legit.
positive	"I didn't want New York to miss my Madonna show. Get ready for Monday! It's gonna be on WNBC!" There is a God&lt;333333 Thanks Ellen :'3
positive	I get to see Ces tomorrow!!!!! Best news since the hurricane. He better not forget his flashlight!
positive	#njed please join @Sirotiak02 and myself  this Tuesday @ 8:30 PM as we discuss HIB. Special guest moderator @WMS_Counselor glad to have you.
positive	Watched a Pride and Prejudice play and then the season finale of the 2nd season of Downton Abbey. Tonight is so British.
positive	@bursonperson - Spotted: I just saw Elvis, I'm beginning to like the temporary 7th floor office. ;) @AOlavarria
positive	got to rockdale today and going back to houston tomorrow THANK GOD!
positive	@MMFlint you got a sweet shout out at a Jon huntsman jr speech in St. Louis Monday night. Well done!
positive	Pacers fans are going to have fun on Saturday...
positive	Congratulations on scoring your first goal for Swansea yesterday. May I say that you look exactly like Jonas Gutierrez ! @ChicoFlores12
positive	@BrodyLogan | That way, the Orange Bowl would always be a part of me. I think it was a wise choice. Shit, is it Thursday yet? Game time!
positive	I will watch Coach Stews Fiesta Bowl speech before the game tomorrow. Just seems right for some reason. I know he is smiling at this team.
positive	...it's Jason and i 3rd year anniversary today &amp; it's my baby makes 3 months today! im the happiest and luckiest lady on earth :)
positive	Wow, what a weekend: Flying Lotus, Zombie Apocalypse, writing, Patriots, Dog Beach...goodnight everyone. Monday morning, screw you.
positive	We're going to be in the rose parade tomorrow with the other obedience club dogs! Lizzie will be wearing roses! :-)
positive	Chris Bosh may not be easy on the eyes, but he has a freakin beautiful family!
